name;type;address;value
T0SW;Decimal;11;0
VETOSW;Decimal;12;0
EXTTRG_EN;Decimal;13;0
RUN_EN;Decimal;14;1
RESET_CORE;Decimal;15;0
PCFG_RAWOFS;Decimal;1;0
PCFG_POL;Decimal;2;1
PCFG_TRG_SOURCE;Decimal;3;0
PCFG_TRG_MODE;Decimal;4;2
PCFG_THRS;Decimal;5;1000
PCFG_HIST;Decimal;6;500
PCFG_TRG_HOLD;Decimal;7;25
PCFG_TRG_W;Decimal;8;10
PCFG_GATE_W;Decimal;9;100
PCFG_FLT_CFG;Hexadecimal;A;1f66
PCFG_C11;Hexadecimal;B;3bc9
PCFG_C12;Hexadecimal;C;7bb6
PCFG_C21;Hexadecimal;D;3c50
PCFG_C22;Hexadecimal;E;7c36
PCFG_CPZ;Hexadecimal;F;100
PCFG_PRB_SEL;Decimal;10;2
FINE_OFS_CH0;Decimal;20014;0
FINE_OFS_CH1;Decimal;20015;0
FINE_OFS_CH2;Decimal;20016;0
FINE_OFS_CH3;Decimal;20017;0
FINE_OFS_CH4;Decimal;20018;0
FINE_OFS_CH5;Decimal;20019;0
FINE_OFS_CH6;Decimal;2001A;0
FINE_OFS_CH7;Decimal;2001B;0
FINE_OFS_CH8;Decimal;2001C;0
FINE_OFS_CH9;Decimal;2001D;0
FINE_OFS_CH10;Decimal;2001E;0
FINE_OFS_CH11;Decimal;2001F;0
FINE_OFS_CH12;Decimal;20020;0
FINE_OFS_CH13;Decimal;20021;0
FINE_OFS_CH14;Decimal;20022;0
FINE_OFS_CH15;Decimal;20023;0
