name;type;address;value
REGFILE_0_POL;Decimal;100A;0
REGFILE_0_TRG_SOURCE;Decimal;100C;0
REGFILE_0_TRG_OUT_W;Decimal;1012;100
REGFILE_0_TRG_MODE;Decimal;100E;3
REGFILE_0_TRG_MASK;Decimal;1014;0
REGFILE_0_TRG_HOFF;Decimal;1011;0
REGFILE_0_TRG_HIST;Decimal;1010;3
REGFILE_0_RUN;Decimal;1009;1
REGFILE_0_PRB_SEL;Decimal;101B;2
REGFILE_0_TRG_THRS;Decimal;100F;400
REGFILE_0_OFFSET;Decimal;100B;1220
REGFILE_0_GATE_W;Decimal;1013;150
REGFILE_0_FLT_CFG;Hexadecimal;1015;1C99
REGFILE_0_EN_COINC;Decimal;100D;0
REGFILE_0_COEFFPZ;Decimal;101A;2621
REGFILE_0_COEFF22;Decimal;1019;31448
REGFILE_0_COEFF21;Decimal;1018;15111
REGFILE_0_COEFF12;Decimal;1017;31279
REGFILE_0_COEFF11;Decimal;1016;14931
